"year_quarter","Tasking_Location","base","score"
"2019 Apr to Jun","Beach/Cliff","Prestwick",12
"2019 Apr to Jun","Beach/Cliff","St Athan",38
"2019 Apr to Jun","Beach/Cliff","Stornoway",6
"2019 Apr to Jun","Beach/Cliff","Sumburgh",1
"2019 Apr to Jun","Mountain","Caernarfon",36
"2019 Apr to Jun","Mountain","Humberside",4
"2019 Apr to Jun","Mountain","Inverness",40
"2019 Apr to Jun","Mountain","Lee On Solent",0
"2019 Apr to Jun","Mountain","Lydd",1
"2019 Apr to Jun","Mountain","Newquay",0
"2019 Apr to Jun","Mountain","Prestwick",14
"2019 Apr to Jun","Mountain","St Athan",9
"2019 Apr to Jun","Mountain","Stornoway",15
"2019 Apr to Jun","Mountain","Sumburgh",0
"2019 Apr to Jun","Other","Caernarfon",19
"2019 Apr to Jun","Other","Humberside",28
"2019 Apr to Jun","Other","Inverness",28
"2019 Apr to Jun","Other","Lee On Solent",33
"2019 Apr to Jun","Other","Lydd",12
"2019 Apr to Jun","Other","Newquay",49
"2019 Apr to Jun","Other","Prestwick",45
"2019 Apr to Jun","Other","St Athan",18
"2019 Apr to Jun","Other","Stornoway",16
"2019 Apr to Jun","Other","Sumburgh",30
"2019 Apr to Jun","Vessel","Caernarfon",4
"2019 Apr to Jun","Vessel","Humberside",13
"2019 Apr to Jun","Vessel","Inverness",5
"2019 Apr to Jun","Vessel","Lee On Solent",10
"2019 Apr to Jun","Vessel","Lydd",10
"2019 Apr to Jun","Vessel","Newquay",20
"2019 Apr to Jun","Vessel","Prestwick",12
"2019 Apr to Jun","Vessel","St Athan",5
"2019 Apr to Jun","Vessel","Stornoway",8
"2019 Apr to Jun","Vessel","Sumburgh",15
"2019 Jul to Sep","Beach/Cliff","Caernarfon",15
"2019 Jul to Sep","Beach/Cliff","Humberside",19
"2019 Jul to Sep","Beach/Cliff","Inverness",14
"2019 Jul to Sep","Beach/Cliff","Lee On Solent",17
"2019 Jul to Sep","Beach/Cliff","Lydd",32
"2019 Jul to Sep","Beach/Cliff","Newquay",27
"2019 Jul to Sep","Beach/Cliff","Prestwick",22
"2019 Jul to Sep","Beach/Cliff","St Athan",42
"2019 Jul to Sep","Beach/Cliff","Stornoway",9
"2019 Jul to Sep","Beach/Cliff","Sumburgh",2
"2019 Jul to Sep","Mountain","Caernarfon",62
"2019 Jul to Sep","Mountain","Humberside",3
"2019 Jul to Sep","Mountain","Inverness",33
"2019 Jul to Sep","Mountain","Lee On Solent",0
"2019 Jul to Sep","Mountain","Lydd",0
"2019 Jul to Sep","Mountain","Newquay",0
"2019 Jul to Sep","Mountain","Prestwick",29
"2019 Jul to Sep","Mountain","St Athan",7
"2019 Jul to Sep","Mountain","Stornoway",12
"2019 Jul to Sep","Mountain","Sumburgh",0
"2019 Jul to Sep","Other","Caernarfon",18
"2019 Jul to Sep","Other","Humberside",23
"2019 Jul to Sep","Other","Inverness",30
"2019 Jul to Sep","Other","Lee On Solent",30
"2019 Jul to Sep","Other","Lydd",16
"2019 Jul to Sep","Other","Newquay",54
"2019 Jul to Sep","Other","Prestwick",46
"2019 Jul to Sep","Other","St Athan",29
"2019 Jul to Sep","Other","Stornoway",22
"2019 Jul to Sep","Other","Sumburgh",33
"2019 Jul to Sep","Vessel","Caernarfon",5
"2019 Jul to Sep","Vessel","Humberside",16
"2019 Jul to Sep","Vessel","Inverness",6
"2019 Jul to Sep","Vessel","Lee On Solent",19
"2019 Jul to Sep","Vessel","Lydd",22
"2019 Jul to Sep","Vessel","Newquay",17
"2019 Jul to Sep","Vessel","Prestwick",12
"2019 Jul to Sep","Vessel","St Athan",5
"2019 Jul to Sep","Vessel","Stornoway",6
"2019 Jul to Sep","Vessel","Sumburgh",10
"2019 Oct to Dec","Beach/Cliff","Caernarfon",8
"2019 Oct to Dec","Beach/Cliff","Humberside",9
"2019 Oct to Dec","Beach/Cliff","Inverness",3
"2019 Oct to Dec","Beach/Cliff","Lee On Solent",3
"2019 Oct to Dec","Beach/Cliff","Lydd",15
"2019 Oct to Dec","Beach/Cliff","Newquay",12
"2019 Oct to Dec","Beach/Cliff","Prestwick",5
"2019 Oct to Dec","Beach/Cliff","St Athan",16
"2019 Oct to Dec","Beach/Cliff","Stornoway",3
"2019 Oct to Dec","Beach/Cliff","Sumburgh",3
"2019 Oct to Dec","Mountain","Caernarfon",15
"2019 Oct to Dec","Mountain","Humberside",1
"2019 Oct to Dec","Mountain","Inverness",20
"2019 Oct to Dec","Mountain","Lee On Solent",0
"2019 Oct to Dec","Mountain","Lydd",0
"2019 Oct to Dec","Mountain","Newquay",0
"2019 Oct to Dec","Mountain","Prestwick",17
"2019 Oct to Dec","Mountain","St Athan",5
"2019 Oct to Dec","Mountain","Stornoway",8
"2019 Oct to Dec","Mountain","Sumburgh",0
"2019 Oct to Dec","Other","Caernarfon",19
"2019 Oct to Dec","Other","Humberside",22
"2019 Oct to Dec","Other","Inverness",23
"2019 Oct to Dec","Other","Lee On Solent",49
"2019 Oct to Dec","Other","Lydd",22
"2019 Oct to Dec","Other","Newquay",43
"2019 Oct to Dec","Other","Prestwick",48
"2019 Oct to Dec","Other","St Athan",23
"2019 Oct to Dec","Other","Stornoway",8
"2019 Oct to Dec","Other","Sumburgh",49
"2019 Oct to Dec","Vessel","Caernarfon",6
"2019 Oct to Dec","Vessel","Humberside",4
"2019 Oct to Dec","Vessel","Inverness",4
"2019 Oct to Dec","Vessel","Lee On Solent",8
"2019 Oct to Dec","Vessel","Lydd",4
"2019 Oct to Dec","Vessel","Newquay",8
"2019 Oct to Dec","Vessel","Prestwick",2
"2019 Oct to Dec","Vessel","St Athan",2
"2019 Oct to Dec","Vessel","Stornoway",0
"2019 Oct to Dec","Vessel","Sumburgh",20
"2020 Jan to Mar","Beach/Cliff","Caernarfon",6
"2020 Jan to Mar","Beach/Cliff","Humberside",10
"2020 Jan to Mar","Beach/Cliff","Inverness",3
"2020 Jan to Mar","Beach/Cliff","Lee On Solent",12
"2020 Jan to Mar","Beach/Cliff","Lydd",27
"2020 Jan to Mar","Beach/Cliff","Newquay",10
"2020 Jan to Mar","Beach/Cliff","Prestwick",9
"2020 Jan to Mar","Beach/Cliff","St Athan",17
"2020 Jan to Mar","Beach/Cliff","Stornoway",0
"2020 Jan to Mar","Beach/Cliff","Sumburgh",0
"2020 Jan to Mar","Mountain","Caernarfon",21
"2020 Jan to Mar","Mountain","Humberside",1
"2020 Jan to Mar","Mountain","Inverness",29
"2020 Jan to Mar","Mountain","Lee On Solent",0
"2020 Jan to Mar","Mountain","Lydd",0
"2020 Jan to Mar","Mountain","Newquay",0
"2020 Jan to Mar","Mountain","Prestwick",20
"2020 Jan to Mar","Mountain","St Athan",5
"2020 Jan to Mar","Mountain","Stornoway",3
"2020 Jan to Mar","Mountain","Sumburgh",0
"2020 Jan to Mar","Other","Caernarfon",13
"2020 Jan to Mar","Other","Humberside",13
"2020 Jan to Mar","Other","Inverness",22
"2020 Jan to Mar","Other","Lee On Solent",44
"2020 Jan to Mar","Other","Lydd",11
"2020 Jan to Mar","Other","Newquay",23
"2020 Jan to Mar","Other","Prestwick",44
"2020 Jan to Mar","Other","St Athan",24
"2020 Jan to Mar","Other","Stornoway",19
"2020 Jan to Mar","Other","Sumburgh",30
"2020 Jan to Mar","Vessel","Caernarfon",1
"2020 Jan to Mar","Vessel","Humberside",2
"2020 Jan to Mar","Vessel","Inverness",9
"2020 Jan to Mar","Vessel","Lee On Solent",5
"2020 Jan to Mar","Vessel","Lydd",9
"2020 Jan to Mar","Vessel","Newquay",5
"2020 Jan to Mar","Vessel","Prestwick",1
"2020 Jan to Mar","Vessel","St Athan",1
"2020 Jan to Mar","Vessel","Stornoway",5
"2020 Jan to Mar","Vessel","Sumburgh",3
"2020 Apr to Jun","Beach/Cliff","Caernarfon",13
"2020 Apr to Jun","Beach/Cliff","Humberside",14
"2020 Apr to Jun","Beach/Cliff","Inverness",6
"2020 Apr to Jun","Beach/Cliff","Lee On Solent",25
"2020 Apr to Jun","Beach/Cliff","Lydd",40
"2020 Apr to Jun","Beach/Cliff","Newquay",30
"2020 Apr to Jun","Beach/Cliff","Prestwick",17
"2020 Apr to Jun","Beach/Cliff","St Athan",25
"2020 Apr to Jun","Beach/Cliff","Stornoway",1
"2020 Apr to Jun","Beach/Cliff","Sumburgh",1
"2020 Apr to Jun","Mountain","Caernarfon",1
"2020 Apr to Jun","Mountain","Humberside",1
"2020 Apr to Jun","Mountain","Inverness",4
"2020 Apr to Jun","Mountain","Lee On Solent",0
"2020 Apr to Jun","Mountain","Lydd",0
"2020 Apr to Jun","Mountain","Newquay",0
"2020 Apr to Jun","Mountain","Prestwick",3
"2020 Apr to Jun","Mountain","St Athan",1
"2020 Apr to Jun","Mountain","Stornoway",0
"2020 Apr to Jun","Mountain","Sumburgh",0
"2020 Apr to Jun","Other","Caernarfon",11
"2020 Apr to Jun","Other","Humberside",17
"2020 Apr to Jun","Other","Inverness",8
"2020 Apr to Jun","Other","Lee On Solent",34
"2020 Apr to Jun","Other","Lydd",17
"2020 Apr to Jun","Other","Newquay",32
"2020 Apr to Jun","Other","Prestwick",36
"2020 Apr to Jun","Other","St Athan",14
"2020 Apr to Jun","Other","Stornoway",14
"2020 Apr to Jun","Other","Sumburgh",10
"2020 Apr to Jun","Vessel","Caernarfon",2
"2020 Apr to Jun","Vessel","Humberside",8
"2020 Apr to Jun","Vessel","Inverness",4
"2020 Apr to Jun","Vessel","Lee On Solent",13
"2020 Apr to Jun","Vessel","Lydd",17
